Product Name,Brand,Name,Title,Rating,Comment,Helpful Vote,Date
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",KLP,"







  
  
    Not Your Mom’s Sewing Kit!
  
",5.0 out of 5 stars,"









  
  
    
  I keep finding these cookies in huge tins in other stores. I love these cookies, but not 3lbs worth. I was happy to find a smaller tin of these lightly sweet and buttery cookies. I was concerned to order them from Amazon based on other reviews saying that their cookies arrived broken and in pieces. I took a chance and ordered them. To my surprise, even though the box was delivered on its side that all the cookies were in tact! They are as delicious as I remembering them being. Maybe when I’m finished with them, I can use the tin as a sewing kit like my mother did. Now I can disappoint my children the way my mother did growing up.

  
",229 people found this helpful,"June 13,2019"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Kevin L Clark,"







  
  
    Packaging needs to be improved .
  
",1.0 out of 5 stars,"









  
  
    
  Too mad to write anything. (  Photo worth 1000 words. )

  
",176 people found this helpful,"December 4,2017"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",A Customer,"







  
  
    Fresh and in perfection condition but believe recipe changed.
  
",3.0 out of 5 stars,"









  
  
    
  I remember as a child my grandparents always had Royal Dansk Danish Cookie Selection on hand for the holidays. I loved every single one of them and could never stop eating them.  Years later, I once purchased an extra large tin and ate them in a few days.  I haven't had these for several years now, however I believe they must have changed the recipe as they don't have the same texture and irresistible flavor.  They are still good but lacking.  They did arrive in perfect condition and very fresh but do wish they also arrived with the same recipe.

  
",44 people found this helpful,"October 2,2019"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Mike R.,"







  
  
    Crushed.
  
",1.0 out of 5 stars,"









  
  
    
  All the cookies are CRUSHED and the tin boxed is completed dented. I was really looking forward to this... disappointed :/

  
",94 people found this helpful,"October 23,2017"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Anthony A.,"







  
  
    Classic
  
",5.0 out of 5 stars,"









  
  
    
  My Grandma used to buy these for us and give it with our Christmas gift, they're so simple yet so tasty and there's so many for the price. My favorite ones are the Pretzel looking ones with bits and pieces of chunky pieces of Sugar. They're fun to eat so if you're not careful you'll be watching TV and eating them and in 20 minutes you'll look down to realize there's barely left LOL.

  
",44 people found this helpful,"January 30,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",A.M.,"







  
  
    Delicious cookies to have for dessert or just with tea...
  
",5.0 out of 5 stars,"









  
  
    
  I remember having these way back when I was a kid so I was pretty happy when I saw these were still around.  They still have the sugar topping on them and there are a few different shapes.  To me not all of them taste the same. Don't know if that was intentional...The larger tin is a great deal. I just bought the small tin because I wanted to try them out again.

  
",One person found this helpful,"August 25,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Ida noggle,"







  
  
    Great I am great price
  
",5.0 out of 5 stars,"









  
  
    
  Great item great price love the freshness and the flavor of these cookies. Sent these as a reminder to my mom of days gone by when she was a kid. Her mom used to make her these little butter cookies. And she loves them just a little aid in my head shipped to her to send a little love. So easy to ship and you don’t have to fight the crowds to make somebody’s day a little better.

  
",One person found this helpful,"November 22,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Tammy,"







  
  
    So delicious!
  
",5.0 out of 5 stars,"









  
  
    
  Absolutely the best cookies ever! They taste delicious and is a favorite in our family. A few arrived broken but that’s to be expected when you get them delivered! I break them anyway when I’m eating them because you’d look like a pig if you crammed a whole one in your mouth lol. If you want unbroken cookies, get off the couch and buy these at your local grocery store instead of getting them delivered or stop complaining! Definitely will purchase these again!

  
",One person found this helpful,"March 14,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",THE C.,"







  
  
    Broken cookies. Use UPS please. Unacceptable. FedEx ...
  
",1.0 out of 5 stars,"









  
  
    
  Broken cookies.  Use UPS please.  Unacceptable.  FedEx broke my treats!!

  
",69 people found this helpful,"November 1,2017"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Amy M,"







  
  
    who doesn't love these?
  
",5.0 out of 5 stars,"









  
  
    
  Lets just be honest....these are just awesome. simple, lovely, a little variety of types and always a bit hit. often people do gives these as gifts or bring to work and i am never disappointed when one of these tins shows up in my office. so yummy w/a cup of coffee or glass of milk or pretty much ANY time. the added bonus = you can re use the tin to put your own baked goods to give as gifts or transport to a gathering.

  
",32 people found this helpful,"June 18,2019"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Amazon Customer,"







  
  
    Delivered with crumbled cookies
  
",5.0 out of 5 stars,"









  
  
    
  Yummy but I would not buy again. The cookies are crumbled. The cookies I got has expiration date of 01/2019 or about 18 months away from now. But crumbled cookies....

  
",53 people found this helpful,"July 31,2017"
